ID,Player,Age,Variant,Numbered,Autograph,Relic,Grading Company,Grade,Number,Set,Comments,Loc,Photo?,Photo taken ?,Photo reference,Added to Collection?,Photo added to Collection?,Search term,Exclude from ebayCollectionUpdater
1211,Cristiano Ronaldo,38,Historic Ticket,,,,,,HT-CR7,2019-20 Panini Chronicles Soccer,,A5,N,,,Y,,Cristiano Ronaldo #HT-CR7 Historic Ticket 2019-20 Panini Chronicles Soccer,
1212,Bukayo Saka,22,Base,,,,,,40,2020-21 Panini Prizm Premier League,,A8,N,,,Y,,Bukayo Saka #40 2020-21 Panini Prizm Premier League,
1213,Brenden Aaronson,23,Base,,,,,,1,2021 Panini US National Team,,A1,N,,,Y,,Brenden Aaronson #1 2021 Panini US National Team,
1214,Brenden Aaronson,23,Base,,,,,,1,2021 Panini US National Team,,A1,N,,,Y,,Brenden Aaronson #1 2021 Panini US National Team,
1215,Ezequiel Lavezzi,,Cutting Edge,/149,,Y,,,CE-EZL,2021-22 Panini Obsidian Soccer,,,,,,,,,
1216,Daniel Podence,,Eruption,/50,,Y,,,E-DP,2021-22 Panini Obsidian Soccer,,,,,,,,,
1217,Robert Sanchez,,Vitreous,/99,,Y,,,1,2021-22 Panini Obsidian Soccer,,,,,,,,,
1218,Luke Shaw,,Eruption,/75,,Y,,,E-LSH,2021-22 Panini Obsidian Soccer,,,,,,,,,
1219,Fernandinho,,Atomic,/50,,Y,,,AM-F,2021-22 Panini Obsidian Soccer,,,,,,,,,
1220,Leon Goretzka,,Tunnel Vision,/30,,,,,18,2021-22 Panini Obsidian Soccer,,,,,,,,,
1221,Yunus Musah,20,Certified Bronze,/500,,Y,,,169,2021-22 Panini Chronicles Certified La Liga,,A5,Y,Y,53,Y,Y,Yunus Musah #169 Certified Bronze /500 Patch 2021-22 Panini Chronicles Certified La Liga,
1222,Aaron Creswell,,PL Memorabillia,/500,,Y,,,187,2021-22 Panini Chronicles Illusions Premier League Soccer,,,,,,,,,
1223,Emile Smith-Rowe,23,Origins,,,,,,82,2021-22 Panini Chronicles Soccer,,A5,N,,,Y,,Emile Smith-Rowe #82 Origins 2021-22 Panini Chronicles Soccer,
1224,Bukayo Saka,22,Origins,,,,,,81,2021-22 Panini Chronicles Soccer,,A5,N,,,Y,,Bukayo Saka #81 Origins 2021-22 Panini Chronicles Soccer,
1225,Tammy Abraham,26,XR Blue,/99,,,,,106,2021-22 Panini Chronicles Soccer,,A5,N,,,Y,,Tammy Abraham #106 XR Blue /99 2021-22 Panini Chronicles Soccer,
1226,Bukayo Saka,22,Brilliance,,,,,,9,2021-22 Panini Prizm Premier League,,A5,N,,,Y,,Bukayo Saka #9 Brilliance 2021-22 Panini Prizm Premier League,
1227,Gabriel Martinelli,22,Fireworks,,,,,,14,2021-22 Panini Prizm Premier League,,B1,N,,,Y,,Gabriel Martinelli #14 Fireworks 2021-22 Panini Prizm Premier League,
1228,Bukayo Saka,22,Fireworks,,,,,,3,2020-21 Panini Prizm Premier League,,A8,N,,,Y,,Bukayo Saka #3 Fireworks 2020-21 Panini Prizm Premier League,
1229,Kevin De Bruyne,32,Cutting Edge,/50,,Y,,,CE-KDB,2020-21 Panini Obsidian Soccer,,A8,Y,Y,39,Y,Y,Kevin De Bruyne #CE-KDB Cutting Edge /50 Patch 2020-21 Panini Obsidian Soccer,
1230,Ryan Gravenberch,,Topps Now,,,,PSA,9,23,2020 Topps Now UEFA CL,,A,N,,,Y,,Ryan Gravenberch #23 Topps Now PSA 9 2020 Topps Now UEFA CL,
1231,Jude Bellingham,,Topps Now,,,,,,4,2020 Topps Now Bundesliga,,,,,,,,,
1232,Cristiano Ronaldo,,Base,,,,PSA,9,154,2018 Panini Prizm World Cup,,A,N,,,Y,,Cristiano Ronaldo #154 PSA 9 2018 Panini Prizm World Cup,
1233,Granit Xhaka,31,Red,/9,,,,,SRA16,2022 Futera Unique Arsenal Season Review,,A5,N,,,Y,,Granit Xhaka #SRA16 Red /9 2022 Futera Unique Arsenal Season Review,
1234,Nuno Tavares,23,Red,/9,,,,,SRA09,2022 Futera Unique Arsenal Season Review,,A5,N,,,Y,,Nuno Tavares #SRA09 Red /9 2022 Futera Unique Arsenal Season Review,
1235,Charlie Patino,20,Silver,/15,,,,,SRA17,2022 Futera Unique Arsenal Season Review,,A5,N,,,Y,,Charlie Patino #SRA17 Silver /15 2022 Futera Unique Arsenal Season Review,
1236,Ben White,26,Base,/30,,,,,SRA06,2021-22 Futera Unique Arsenal Season Review,,A5,Y,Y,54,Y,Y,Ben White #SRA06 /30 2021-22 Futera Unique Arsenal Season Review,
1237,Gabriel,25,Base,/30,,,,,SRA04,2021-22 Futera Unique Arsenal Season Review,,A5,Y,Y,55,Y,Y,Gabriel #SRA04 /30 2021-22 Futera Unique Arsenal Season Review,
1238,Albert Sambi Lokonga,24,Gold,/30,,,,,SRA15,2022 Futera Unique Arsenal Season Review,,A5,N,,,Y,,Albert Sambi Lokonga #SRA15 Gold /30 2022 Futera Unique Arsenal Season Review,
1239,Gabriel Jesus,26,Archival Autographs,/75,Y,,,,AA-GJ,2021-22 Topps Museum UEFA Champions League,,A1,Y,Y,56,Y,Y,Gabriel Jesus #AA-GJ Archival Autographs /75 Autograph 2021-22 Topps Museum UEFA Champions League,
1240,Gabriel Martinelli,22,Silver,,,,,,203,2021-22 Panini Prizm Premier League,,A1,N,,,Y,,Gabriel Martinelli #203 Silver 2021-22 Panini Prizm Premier League,
1241,Antony,23,Red,,,,,,26,2022 Panini Prizm World Cup,,B2,N,,,Y,,Antony #26 Red 2022 Panini Prizm World Cup,
1242,Erling Haaland,23,Pink,,,,,,49,2020-21 Topps Chrome UEFA Champions League,,A1,N,,,Y,,Erling Haaland #49 Pink 2020-21 Topps Chrome UEFA Champions League,
1243,Erling Haaland,23,Base,,,,,,9,2020-21 Topps Stadium Club Chrome UEFA UCL,,A1,N,,,Y,,Erling Haaland #9 2020-21 Topps Stadium Club Chrome UEFA UCL,
1244,Rodri,,Global Reach,,,,,,15,2022 Panini Prizm World Cup,,,,,,,,,
1245,Anwar El Ghazi,,Silver,,,,,,128,2021-22 Panini Prizm Premier League,,,,,,,,,
1246,Matty Cash,,Silver,,,,,,124,2021-22 Panini Prizm Premier League,,,,,,,,,
1247,Michail Antonio,,Green,,,,,,240,2021-22 Panini Prizm Premier League,,,,,,,,,
1248,Vladimir Coufal,,Speckle,,,,,,228,2021-22 Panini Prizm Premier League,,,,,,,,,
1249,Kurt Zouma,,Silver,,,,,,230,2021-22 Panini Prizm Premier League,,,,,,,,,
1250,Wilfred Ndidi,,Silver,,,,,,25,2021-22 Panini Prizm Premier League,,,,,,,,,
1251,Serginio Dest/Yusuf Musah,,Connections,,,,,,14,2022 Panini Prizm World Cup,,,,,,,,,
1252,Brenden Aaronson,,Phenomenon,,,,,,33,2022 Panini Prizm World Cup,,,,,,,,,
1253,Zack Steffen,,Global Reach,,,,,,31,2022 Panini Prizm World Cup,,,,,,,,,
1254,Craig Dawson,,Silver,,,,,,231,2021-22 Panini Prizm Premier League,,,,,,,,,
1255,Bukayo Saka,,Phenomenon,,,,,,9,2022 Panini Prizm World Cup,,,,,,,,,
1256,Aaron Creswell,,Speckle,,,,,,229,2021-22 Panini Prizm Premier League,,,,,,,,,
1257,Declan Rice/Kalvin Phillips,,Connections,,,,,,12,2022 Panini Prizm World Cup,,,,,,,,,
1258,Reece James,23,New Era,,,,,,28,2022 Panini Prizm World Cup,,B3,N,,,Y,,Reece James #28 New Era 2022 Panini Prizm World Cup,
1259,Trent Alexander-Arnold,,Global Reach,,,,,,7,2022 Panini Prizm World Cup,,,,,,,,,
1260,Harry Kane,,Scorers Club,,,,,,20,2022 Panini Prizm World Cup,,,,,,,,,
1261,Andrej Kramaric,,Scorers Club,,,,,,24,2022 Panini Prizm World Cup,,,,,,,,,
1262,Marcelo Brozovic/Ivan Perisic,,Connections,,,,,,23,2022 Panini Prizm World Cup,,,,,,,,,
1263,Aaron Creswell,,Speckle,,,,,,229,2021-22 Panini Prizm Premier League,,,,,,,,,
1264,Alex Kral,,Speckle,,,,,,236,2021-22 Panini Prizm Premier League,,,,,,,,,
1265,Marcelo Brozovic/Ivan Perisic,,Connections,,,,,,23,2021-22 Panini Prizm Premier League,,,,,,,,,
1266,Tyrell Malacia,,New Era,,,,,,20,2022 Panini Prizm World Cup,,,,,,,,,
1267,Thibaut Courtois,,Global Reach,,,,,,28,2022 Panini Prizm World Cup,,,,,,,,,
1268,Eden Hazard,,Scorers Club,,,,,,2,2022 Panini Prizm World Cup,,,,,,,,,
1269,Nico Schlotterbeck,,New Era,,,,,,15,2022 Panini Prizm World Cup,,,,,,,,,
1270,Marco Reus,,Scorers Club,,,,,,27,2022 Panini Prizm World Cup,,,,,,,,,
1271,Zack Steffen,,Global Reach,,,,,,31,2022 Panini Prizm World Cup,,,,,,,,,
1272,Serginio Dest/Yusuf Musah,,Connections,,,,,,14,2022 Panini Prizm World Cup,,,,,,,,,
1273,Zack Steffen,,Global Reach,,,,,,31,2022 Panini Prizm World Cup,,,,,,,,,
1274,Yeremy Pino,20,New Era,,,,,,11,2022 Panini Prizm World Cup,,B3,N,,,Y,,Yeremy Pino #11 New Era 2022 Panini Prizm World Cup,
1275,Nicolas Pepe,,Silver,,,,,,205,2021-22 Panini Prizm Premier League,,,,,,,,,
1276,Nicolas Pepe,,Silver,,,,,,205,2021-22 Panini Prizm Premier League,,,,,,,,,
1277,Federico Chiesa,,Origins,,,,,,92,2021-22 Panini Chronicles Soccer,,,,,,,,,
1278,Dusan Vlahovic,23,Origins,,,,,,93,2021-22 Panini Chronicles Soccer,,A6,N,,,Y,,Dusan Vlahovic #93 Origins 2021-22 Panini Chronicles Soccer,
1279,Federico Chiesa,,Origins,,,,,,92,2021-22 Panini Chronicles Soccer,,,,,,,,,
1280,Yeremy Pino,,New Era,,,,,,11,2022 Panini Prizm World Cup,,,,,,,,,
1281,Sergio Busquets/Koke,,Connections,,,,,,28,2022 Panini Prizm World Cup,,,,,,,,,
1282,Pedri,,Phenomenon,,,,,,25,2022 Panini Prizm World Cup,,,,,,,,,
1283,Mason Mount,,Global Reach,,,,,,29,2022 Panini Prizm World Cup,,,,,,,,,
1284,Gabriel Martinelli,22,New Era,,,,,,19,2022 Panini Prizm World Cup,,B3,N,,,Y,,Gabriel Martinelli #19 New Era 2022 Panini Prizm World Cup,
1285,Thomas Muller,,Phenomenon,,,,,,23,2022 Panini Prizm World Cup,,,,,,,,,
1286,Rodri,,Global Reach,,,,,,15,2022 Panini Prizm World Cup,,,,,,,,,
1287,Pedri,20,New Era,,,,,,18,2022 Panini Prizm World Cup,,B3,N,,,Y,,Pedri #18 New Era 2022 Panini Prizm World Cup,
1288,Emiliano Buendia,,Speckle,,,,,,127,2021-22 Panini Prizm Premier League,,,,,,,,,
1289,Alex Kral,,Silver,,,,,,236,2021-22 Panini Prizm Premier League,,,,,,,,,
1290,Declan Rice,24,Green,,,,,,237,2021-22 Panini Prizm Premier League,,A1,N,,,Y,,Declan Rice #237 Green 2021-22 Panini Prizm Premier League,
1291,Pablo Fornals,,Green,,,,,,233,2021-22 Panini Prizm Premier League,,,,,,,,,
1292,Jadon Sancho,,Global Reach,,,,,,33,2022 Panini Prizm World Cup,,,,,,,,,
1293,Trent Alexander-Arnold,,Prophecy Fulfilled,,,,,,FF-4,2021-22 Topps Merlin Chrome UEFA Champions League,,,,,,,,,
1294,Gabriel Martinelli,22,New Era,,,,,,19,2022 Panini Prizm World Cup,,B3,N,,,Y,,Gabriel Martinelli #19 New Era 2022 Panini Prizm World Cup,
1295,Sergio Busquets/Koke,,Connections,,,,,,28,2022 Panini Prizm World Cup,,,,,,,,,
1296,Danny Ings,,Green,,,,,,130,2021-22 Panini Prizm Premier League,,,,,,,,,
1297,Jacob Ramsey,,Speckle,,,,,,133,2021-22 Panini Prizm Premier League,,,,,,,,,
1298,Aaron Ramsey,,Red Circles,,,,,,295,2022 Panini Prizm World Cup,,,,,,,,,
1299,Granit Xhaka,,Silver,,,,,,201,2021-22 Panini Prizm Premier League,,,,,,,,,
1300,Curtis Jones,,U23 Stars,,,,,,U23-13,2021-22 Topps Merlin Chrome UEFA Champions League,,,,,,,,,
1301,Alex Kral,,Silver,,,,,,236,2021-22 Panini Prizm Premier League,,,,,,,,,
1302,Pablo Fornals,,Silver,,,,,,233,2021-22 Panini Prizm Premier League,,,,,,,,,
1303,Alphonse Areola,,Silver,,,,,,232,2021-22 Panini Prizm Premier League,,,,,,,,,
1304,Nikola Vlasic,,Speckle,,,,,,239,2021-22 Panini Prizm Premier League,,,,,,,,,
1305,Aaron Ramsdale,25,New Era,,,,,,38,2022 Panini Prizm World Cup,,B2,N,,,Y,,Aaron Ramsdale #38 New Era 2022 Panini Prizm World Cup,
1306,Pedri,20,New Era,,,,,,18,2022 Panini Prizm World Cup,,B2,N,,,Y,,Pedri #18 New Era 2022 Panini Prizm World Cup,
1307,Mason Mount,,Global Reach,,,,,,29,2022 Panini Prizm World Cup,,,,,,,,,
1308,Trent Alexander-Arnold,,Global Reach,,,,,,7,2022 Panini Prizm World Cup,,,,,,,,,
1309,Aaron Ramsdale,25,New Era,,,,,,38,2022 Panini Prizm World Cup,,B2,N,,,Y,,Aaron Ramsdale #38 New Era 2022 Panini Prizm World Cup,
1310,Romelu Lukaku,,Global Reach,,,,,,5,2022 Panini Prizm World Cup,,,,,,,,,
1311,Gabriel Martinelli,22,Base,,,,,,29,2022 Panini Prizm World Cup,,B2,N,,,Y,,Gabriel Martinelli #29 2022 Panini Prizm World Cup,
