collectibleId, databaseId
9b345205-5962-4455-8a2b-634c7cc8dd7b,1613
0d0eff11-9305-4449-8917-02b3a2e3d8d5,1474
23a367e8-96c8-4fb5-a66c-bd7ce5574821,562
f87eeee8-e592-483a-921e-2576081e06a0,1101
1f1b50df-9b43-4815-a717-2e652cbc252a,1631
0dea865b-8e22-43cb-b806-e6aa7127ce82,1214
5a408622-b7a9-4cdd-b048-fbc9c6927431,1214
45b77db0-0727-4e45-9020-d52d98e24daa,1581
906a81fc-0104-4744-8477-6a0725c0952f,1607
83cf05c4-1be5-4ed9-8b02-095a4d927980,1294
74dd02b8-af33-4244-a8ce-0ff0a56796e0,1294
c630df70-a490-4461-90c8-d4e2f2bc59ed,1650
0723ec4c-0ceb-4656-b878-3a48e2b69288,1524
3f1c83e0-9538-4f5f-8250-22463a125251,1524
d0d69934-27e0-4266-8e95-6f60a99530b1,1165
d5c183f1-2c2f-40cb-8705-dd812fdb80e8,1334
93bcea77-71e3-475a-a72a-731c537686b5,1206
193e6982-6722-4174-8812-34c975253c8e,131
13cbdb17-dfe6-44dc-a607-65f7fd90b43c,1532
7efe1fdd-0a9e-4174-b4f1-b28ded5f9447,1599
9705f26b-b6cf-421b-a6d3-8b527ed9b6aa,1338
6c9e3387-bf99-4453-bf46-cfeb016fd0e7,1739
ec7d17e0-01a4-473a-a366-e8d0147db434,505
4d11753d-076c-41fe-a6a9-2a46f4b74acc,1596
fc91c472-d1ca-446c-af16-d92504fee36a,657
18906ead-e87c-4ee1-a2f5-7b71280563d5,1475
eb28cd0e-946f-42f2-a50b-6f4d29f62dca,1475
88fd3d79-9fbc-4517-9c14-534e6ed5f4cf,993
08c2b7ba-9458-4cd0-8901-124aa11eb819,1549
6c59c52c-32a0-4a0c-808c-2a4ea6ea2745,1549
978ebbe0-d41e-4d76-90e2-743059bde696,532
94c85be9-c261-4d2c-807a-ef0eb337f613,808
b8ac949c-2729-436d-bbb6-1ad0d369f11e,1097
8d01283b-6810-4dfa-ab28-e9a2e30a76ab,1099
d155b62e-5640-49d8-9f95-15e28e6a511c,794
022871e5-4b93-48d2-b6bf-f4d5eeb61e02,662
052d3804-a261-40fe-9193-bfba8946ad1a,945
4035192b-d7bb-4371-b4a4-4182db779964,945
b144ca31-04d2-4e95-af60-ec858a8a3be7,1128
ffd45545-17ac-46ae-83dd-98ed393bdb93,1015
d4aba0e8-6952-429a-9eac-61ab1e566b2e,1441
f8948236-1c6d-4b80-869b-632df4aa9727,1441
718b91af-53ac-4c72-aa0a-0435680c977b,1258
ebed5a15-5c04-44e6-8233-84e929fe234f,926
480e14c9-71ae-468c-9fcc-2c98dc275915,1181
f5f06f8f-8fbb-4fdb-b2e4-80fd9f190425,1621
f7c27fc3-0aef-451c-a510-7794a2a80072,1637
c1d0a2e2-4eca-4fe8-9e93-95d26c422cdd,1522
6addbe7e-e86f-4a0c-9cb3-c1bbdf1d0f9f,1472
0391f1af-f452-4d58-b7a7-a59b20da3878,1472
251fc30d-2fbb-480b-9ae4-0f106f35aa50,1472
86e2b8d4-4b8f-413a-890c-9fdf3b3bd2e4,1472
3fad7033-39c5-48e9-9d1b-caad92b223cc,1472
6fbd111d-417b-4eff-a08a-9d07c9b646a1,1472
8b6def70-e1cc-4282-ae73-03353a954e24,1472
72f84d33-4a50-4ced-a153-9eb3f2c333b6,1472
2d13094d-abf3-4952-aef1-b8f593ec3b31,1472
e82ac6d1-ff7a-4590-a92d-2dcf10075084,1472
7567d938-a001-45fb-ad29-29d8b16eba5c,1472
ba5f0495-e920-4ae9-a8ee-9f43f0604792,1472
99cf479c-b9b2-4cdd-b020-62565e569bd1,1472
dab95ec5-00f7-4447-9087-4a4ea63f2dbd,1472
09d91002-1dd2-4b6d-a19b-ba42e0efdd74,1472
fad2c2b4-22c1-406a-8134-2b8c72ffd60f,1472
0242ff84-ebaf-44e1-aa38-8ce540473738,1472
0a2fbd43-a776-444b-bc31-eead17c7680d,1472
8539cff4-ae78-4690-8043-7f95e96963d4,1472
b50c5699-bbbd-4293-b736-136e8a1cdf7c,1472
93ec5e03-2dfa-4786-9963-c58805b54e77,1472
