collectibleId, databaseId
9b345205-5962-4455-8a2b-634c7cc8dd7b,1613
0d0eff11-9305-4449-8917-02b3a2e3d8d5,1474
23a367e8-96c8-4fb5-a66c-bd7ce5574821,562
f87eeee8-e592-483a-921e-2576081e06a0,1101
1f1b50df-9b43-4815-a717-2e652cbc252a,1631
0dea865b-8e22-43cb-b806-e6aa7127ce82,1214
5a408622-b7a9-4cdd-b048-fbc9c6927431,1214
45b77db0-0727-4e45-9020-d52d98e24daa,1581
906a81fc-0104-4744-8477-6a0725c0952f,1607
83cf05c4-1be5-4ed9-8b02-095a4d927980,1294
74dd02b8-af33-4244-a8ce-0ff0a56796e0,1294
c630df70-a490-4461-90c8-d4e2f2bc59ed,1650
0723ec4c-0ceb-4656-b878-3a48e2b69288,1524
3f1c83e0-9538-4f5f-8250-22463a125251,1524
d0d69934-27e0-4266-8e95-6f60a99530b1,1165
d5c183f1-2c2f-40cb-8705-dd812fdb80e8,1334
93bcea77-71e3-475a-a72a-731c537686b5,1206
193e6982-6722-4174-8812-34c975253c8e,131
13cbdb17-dfe6-44dc-a607-65f7fd90b43c,1532
7efe1fdd-0a9e-4174-b4f1-b28ded5f9447,1599
